"target_id","ens_gene","ext_gene","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","b","se_b"
"ENST00000295956.9","ENSG00000136068","FLNB",4.27597482820045e-05,0.0312141736780889,16.7447797671383,5.23056026031317,1,9.5539157074719,0.403590228173265,0.00294000766145325,0.432940014031311,0.194444081449997,0.432940014031311,-1.05757376530735,0.226954760423456
"ENST00000295984.7","ENSG00000163704","PRRT3",0.000123206886338468,0.0466417043564395,14.7429572175751,9.65373172884796,1,5.71234742784997,0.749160760614037,0.0404635138439376,0.764014130226726,0.248691940370953,0.764014130226726,-1.35962082585822,0.296510457295266
"ENST00000296327.10","ENSG00000163959","SLC51A",4.53722600433435e-06,0.0141033955778359,21.0233388002316,88.9413022949995,1,2.6805656746133,6.85720248658827,0.289293048196198,7.12248214305376,0.785024607381278,7.12248214305376,-4.50021518273844,0.719171017619673
"ENST00000296414.11","ENSG00000070190","DAPP1",8.34966631431844e-05,0.0395244051138745,15.4774223463668,81.1187419371351,1,2.42216989854939,6.40083372834404,0.591816503094247,6.16807865833368,0.939009817806299,6.16807865833368,3.99356480389086,0.837261402762921
"ENST00000296657.7","ENSG00000164236","ANKRD33B",4.49328267783169e-06,0.0141033955778359,21.0419859673286,6.83784989700162,1,9.24999651233408,0.530132988077152,0.000136162893017688,0.569684661857117,0.196942592017885,0.569684661857117,-1.27043437685172,0.226499017792669
"ENST00000304129.9","ENSG00000169129","AFAP1L2",1.17009507081476e-05,0.0189517363291958,19.2114492163134,26.7605850233026,1,7.9318041392686,2.05850925898168,0.00533517305789062,2.22471357888399,0.212004585763417,2.22471357888399,-2.42009721993563,0.420854118307088
"ENST00000305447.5","ENSG00000168959","GRM5",4.06852626016889e-06,0.0141033955778359,21.2322880438429,78.6644892042915,1,1.52357686643819,6.11065176239352,0.427719699324579,6.12765440103304,1.65178667572571,6.12765440103304,4.3065038180066,0.75473466152192
"ENST00000306078.2","ENSG00000171126","KCNG3",5.77153285384485e-05,0.0327074361045815,16.1761797124157,10.1097804057167,1,4.78545851606921,0.777818016870255,0.0533222453812432,0.789159455095146,0.267568418350687,0.789159455095146,1.42909253862805,0.292514071115712
"ENST00000306103.3","ENSG00000169087","HSPBAP1",4.73879112744021e-05,0.0313269457636689,16.549842914498,5.97440497789037,1,6.29997287949662,0.459595963197561,0.00405561382455546,0.493811467666308,0.240889898586369,0.493811467666308,-1.1393161703908,0.252537821527493
"ENST00000306851.10","ENSG00000118276","B4GALT6",2.41496058133041e-06,0.0100347563332637,22.2329311945302,13.1013578028861,1,5.53595735839468,1.02916308981331,0.0186662714759766,1.0731135454312,0.251846122907989,1.0731135454312,1.74811588948713,0.266387230271501
"ENST00000307439.10","ENSG00000169435","RASSF6",4.45211547677669e-06,0.0141033955778359,21.0596218848795,11.9870231553617,1,4.43790778672221,0.929997955558652,0.0350439318121376,0.963874664468008,0.286229406722375,0.963874664468008,1.67428371223794,0.292389624875406
"ENST00000309737.11","ENSG00000166405","RIC3",2.46794231824285e-05,0.0264459922160353,17.7890908069064,90.2219409081147,1,1.82679038230752,7.04095125189554,1.34188646697265,6.17660860870358,1.38153838465525,6.17660860870358,-4.40989072775196,0.87264156054138
"ENST00000313236.10","ENSG00000149582","TMEM25",8.9512779829524e-05,0.0411550216513069,15.3459463003875,71.6389576085787,1,5.37216323435102,5.55537956468568,0.935302654150004,5.03461047989822,0.255924533403409,5.03461047989822,-3.74439688492863,0.790522723341138
"ENST00000313669.12","ENSG00000160963","COL26A1",1.18189465233419e-06,0.00682806234015467,23.606469810164,18.8996178115389,1,6.64554742468464,1.47549652073418,0.0269340261393608,1.54803412482221,0.234006858686123,1.54803412482221,-2.12300164471973,0.302302158426548
"ENST00000330055.7","ENSG00000184160","ADRA2C",5.55985242758668e-07,0.00469974794171245,25.0591421388577,11.2713038379196,1,7.03753564360996,0.879750504745064,0.00197340444473292,0.937301915381901,0.226469716134388,0.937301915381901,-1.67089832632703,0.243709234074157
"ENST00000334258.9","ENSG00000176438","SYNE3",0.000116612104987291,0.0460780983579508,14.8466969762735,59.0780846586409,1,2.20026056899154,4.54970481203724,0.798065292882374,4.12510842867104,1.091366819812,4.12510842867104,-3.36992683120093,0.730796649852313
"ENST00000335425.7","ENSG00000166405","RIC3",7.18395764907262e-05,0.0369069222750462,15.761770278333,86.1424363795008,1,3.93941693721553,6.64952613934098,0.392932339261007,6.78560402569739,0.332836098680488,6.78560402569739,-4.13532274386995,0.854080211337761
"ENST00000338144.8","ENSG00000165675","ENOX2",0.00011228394062286,0.0452116390733431,14.9180428495581,69.8171194213591,1,2.07163502683468,5.38261693594056,2.82505052011997,2.99304276499329,1.18653026309407,2.99304276499329,-4.16534354751564,1.06808267830219
"ENST00000339363.7","ENSG00000156313","RPGR",2.99260680964928e-06,0.011262154728219,21.8212921221291,7.89564353977573,1,5.50311563480979,0.60932841191456,0.0171889639728305,0.64078133100848,0.252560199941554,0.64078133100848,1.4174444037037,0.265946738914602
"ENST00000339876.11","ENSG00000163531","NFASC",0.000100491589327554,0.0423704098551087,15.1274469582137,73.8138723062134,1,1.53231529204135,5.74478157176853,1.32420026538128,4.82695576013651,1.64351953692759,4.82695576013651,-3.8936123629146,0.910382657146721
"ENST00000340866.10","ENSG00000116791","CRYZ",9.09463530873431e-05,0.0412496005552166,15.315929774497,4.48620166339935,1,6.66956195545981,0.347780146867608,0.00297391141734764,0.370876227199265,0.233522965586717,0.370876227199265,1.00977945590759,0.248061679991609
"ENST00000342579.8","ENSG00000171634","BPTF",4.70659007531927e-05,0.0312696431424062,16.562772883027,130.06250936645,1,2.70078224243499,10.0092651576761,1.81308741829494,9.0254550289092,0.774144988181403,9.0254550289092,5.14718897220702,1.01986381664884
"ENST00000343202.8","ENSG00000166405","RIC3",5.29815770189269e-09,0.000703998002796694,34.0767117072719,101.420992618765,1,2.7736728559519,7.83686216832665,0.257475108312599,8.19427427658452,0.736371530681482,8.19427427658452,-5.21409890665799,0.520494792541332
"ENST00000344275.11","ENSG00000150967","ABCB9",7.73904207542778e-05,0.0380864057338719,15.6209976647529,10.7377699045246,1,4.5640101600095,0.887043426507167,0.281891984137134,0.61292217457325,0.278696544613642,0.61292217457325,-1.6019970113582,0.39418664700379
