"target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSG00000286984","",1,2.5218519982359,0.229401754476623,0.771924201239755
"ENSG00000121579","NAA50",8,39.1371168514794,0.229179498671058,0.771924201239755
"ENSG00000198106","",1,3.6622217242822,0.229096697735318,0.771924201239755
"ENSG00000226416","MRPL23-AS1",1,3.64699195036496,0.229162900269614,0.771924201239755
"ENSG00000254973","",1,3.19351930872789,0.229355330569758,0.771924201239755
"ENSG00000256628","ZBTB11-AS1",1,5.49176991043823,0.229254449303305,0.771924201239755
"ENSG00000183020","AP2A2",18,49.3987221905391,0.22917760524313,0.771924201239755
"ENSG00000198680","TUSC1",1,5.55438368887885,0.22936105106129,0.771924201239755
"ENSG00000189343","RPS2P46",1,2.18660149137692,0.229211454718078,0.771924201239755
"ENSG00000284770","TBCE",17,45.5464140603584,0.229415853712143,0.771924201239755
"ENSG00000272654","",1,2.94305681712409,0.229445794256268,0.771924201239755
"ENSG00000143294","PRCC",6,25.0295972799207,0.2291323438813,0.771924201239755
"ENSG00000171408","PDE7B",2,4.02589023405887,0.229587084912581,0.77223891818971
"ENSG00000224687","RASAL2-AS1",2,6.38355663232914,0.229644134752529,0.772325359676253
"ENSG00000154957","ZNF18",5,12.75074400156,0.229712036526457,0.772448269154963
"ENSG00000259673","IQCH-AS1",7,19.0549732587111,0.229804660364349,0.772548827521251
"ENSG00000198663","C6orf89",4,19.5390817170729,0.229794598160287,0.772548827521251
"ENSG00000245888","NSMCE1-DT",2,5.2479155537056,0.229938063064862,0.772617573888271
"ENSG00000201684","RN7SKP239",1,1.62716068047235,0.229889484061117,0.772617573888271
"ENSG00000183770","FOXL2",1,2.12652380219349,0.229881980347485,0.772617573888271
"ENSG00000123405","NFE2",1,2.05534241881367,0.229950560249596,0.772617573888271
"ENSG00000174109","C16orf91",2,8.17228869806223,0.230119573179853,0.7730800061756
"ENSG00000175691","ZNF77",1,4.28603797613686,0.230226769403881,0.773100154930517
"ENSG00000279302","",1,3.5333552710228,0.230226476821248,0.773100154930517
"ENSG00000171451","DSEL",1,5.38785723389365,0.230371212863828,0.773100154930517
"ENSG00000177464","GPR4",1,2.07252977362586,0.23025448233118,0.773100154930517
"ENSG00000118322","ATP10B",2,5.52992472728572,0.230263908833961,0.773100154930517
"ENSG00000170917","NUDT6",4,10.1490602623538,0.230333538688543,0.773100154930517
"ENSG00000214967","NPIPA7",1,3.05378288905606,0.230439392638717,0.773100154930517
"ENSG00000169241","SLC50A1",11,39.8546207811695,0.230422490803875,0.773100154930517
"ENSG00000143384","MCL1",7,41.3287310770463,0.230320092727222,0.773100154930517
"ENSG00000172146","OR1A1",2,6.06763821637947,0.230423021642518,0.773100154930517
"ENSG00000101846","STS",5,17.0524106993275,0.230624193302407,0.773193658411103
"ENSG00000284703","",1,2.98316778035067,0.230609220287002,0.773193658411103
"ENSG00000259753","",1,3.36829216788639,0.230552450804537,0.773193658411103
"ENSG00000124596","OARD1",9,25.8201152083602,0.230612194787958,0.773193658411103
"ENSG00000108924","HLF",1,2.08625124764169,0.230530328098674,0.773193658411103
"ENSG00000196867","ZFP28",2,9.12206112693648,0.23077730928778,0.773391241233093
"ENSG00000174738","NR1D2",5,24.2098750411466,0.230773544138109,0.773391241233093
"ENSG00000006625","GGCT",6,20.2049873459321,0.230738839638412,0.773391241233093
