"target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSG00000229921","KIF25-AS1",1,2.4938648372929,0.146253523815431,0.552431088499407
"ENSG00000232530","LIF-AS1",1,1.32155176419155,0.146372514515169,0.55244359140542
"ENSG00000227544","",1,2.13896461274751,0.14639138480595,0.55244359140542
"ENSG00000178252","WDR6",11,47.3679818075322,0.146302795191669,0.55244359140542
"ENSG00000135414","GDF11",2,11.3362710352771,0.146378706312327,0.55244359140542
"ENSG00000277452","RN7SL473P",1,2.22382826322783,0.146346375130446,0.55244359140542
"ENSG00000169905","TOR1AIP2",6,34.8745646493003,0.146339617383125,0.55244359140542
"ENSG00000273027","",1,1.60390674508217,0.146487958029846,0.552469511032649
"ENSG00000167701","GPT",4,12.71672538059,0.146476876785783,0.552469511032649
"ENSG00000233496","SYNJ2-IT1",1,2.10074043154752,0.146452955193745,0.552469511032649
"ENSG00000155657","TTN",1,2.57896986519402,0.146479760864943,0.552469511032649
"ENSG00000226179","LINC00685",1,3.1310243948687,0.14651296315458,0.552479235774234
"ENSG00000080298","RFX3",10,32.5622231518658,0.146594814400186,0.55270328324894
"ENSG00000100121","GGTLC2",1,2.81028411543853,0.146824202164404,0.553386015282213
"ENSG00000279464","",1,2.24673146259446,0.146858235107034,0.553386015282213
"ENSG00000237851","",1,2.35941776913096,0.14679841926056,0.553386015282213
"ENSG00000257322","",1,1.51700989498616,0.146865750676481,0.553386015282213
"ENSG00000189401","OTUD6A",1,2.30140545690152,0.147042490981965,0.553689497101801
"ENSG00000257176","",2,7.11360209214791,0.147016777080412,0.553689497101801
"ENSG00000170606","HSPA4",5,28.9228638302374,0.147082275207384,0.553689497101801
"ENSG00000103187","COTL1",4,15.1478508627434,0.147103623240564,0.553689497101801
"ENSG00000170356","OR2A20P",2,5.94855992127531,0.14698940653784,0.553689497101801
"ENSG00000204859","ZBTB48",7,25.669166292021,0.147096699805668,0.553689497101801
"ENSG00000174292","TNK1",2,7.75986814579259,0.147082842929599,0.553689497101801
"ENSG00000237515","SHISA9",2,9.16336751880245,0.147139125191211,0.553722184211982
"ENSG00000204514","ZNF814",8,29.5199659578995,0.147179738673435,0.553722184211982
"ENSG00000247373","TMED2-DT",1,5.41663310065131,0.147158408166695,0.553722184211982
"ENSG00000101000","PROCR",2,5.61541234561903,0.147244258140718,0.553845714023561
"ENSG00000285486","",1,3.93512231878767,0.147257537116068,0.553845714023561
"ENSG00000186951","PPARA",7,25.6992030139447,0.147637306966296,0.553854396052629
"ENSG00000133027","PEMT",10,20.9818980468756,0.147319299362459,0.553854396052629
"ENSG00000268670","",1,3.25258782930871,0.147431041745423,0.553854396052629
"ENSG00000186451","SPATA12",1,2.0763335349251,0.147607854920137,0.553854396052629
"ENSG00000100982","PCIF1",3,13.4371219201567,0.147456610095924,0.553854396052629
"ENSG00000197847","SLC22A20P",3,7.64960796119886,0.147690469208265,0.553854396052629
"ENSG00000196739","COL27A1",5,16.3226081093575,0.147405358962333,0.553854396052629
"ENSG00000198689","SLC9A6",13,32.0077489667162,0.147608141528421,0.553854396052629
"ENSG00000260418","",1,2.7643980839426,0.147565238900281,0.553854396052629
"ENSG00000275740","",1,6.55144291486957,0.147692058563503,0.553854396052629
"ENSG00000228316","MTATP6P19",1,1.68226986933432,0.147707506720682,0.553854396052629
"ENSG00000119401","TRIM32",3,13.6360394807142,0.147642238756708,0.553854396052629
"ENSG00000156510","HKDC1",1,4.70000009185079,0.147667670647324,0.553854396052629
"ENSG00000269749","",1,3.06027850897294,0.147707294478779,0.553854396052629
"ENSG00000203307","FAM78B-AS1",1,1.67661853966229,0.147315418501396,0.553854396052629
"ENSG00000162849","KIF26B",1,4.45892547163115,0.14753984715283,0.553854396052629
"ENSG00000007372","PAX6",1,1.71233270125536,0.147671816749735,0.553854396052629
"ENSG00000138758","SEPTIN11",10,32.1431236329848,0.147490107810614,0.553854396052629
