"target_id","ens_gene","ext_gene","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","b","se_b"
"ENST00000331128.6","ENSG00000184270","H2AC21",1.05228585033986e-05,0.00881293896607709,19.4140766063743,7.76864372232774,1,6.87660233208221,0.325966469102339,0.00117781602753623,0.157365933407724,0.0308831593378066,0.157365933407724,0.404538349723956,0.0902833325594612
"ENST00000336967.8","ENSG00000179820","MYADM",3.63845423187062e-06,0.00481790342260187,21.4464690054141,45.4841993053102,1,3.0101600051329,5.50907816679093,0.562138657773414,0.366110307641079,0.110354839668159,0.366110307641079,-1.02802583915908,0.218838569772467
"ENST00000343242.9","ENSG00000198517","MAFK",2.17556802920402e-06,0.00367550965595936,22.4334073182341,3.53145765568587,1,6.3543560927499,0.212071429284576,0.00259614207965647,0.069474422322096,0.0313852879226872,0.069474422322096,-0.289357441631601,0.0592521529810218
"ENST00000343687.7","ENSG00000160179","ABCG1",1.70168485551163e-06,0.0032809408773269,22.9054522440078,111.863955872756,1,3.24118458832612,5.10303404755988,0.517137492107881,1.76580038284633,0.0919972357114529,1.76580038284633,-1.64225540077262,0.332079300298792
"ENST00000343820.10","ENSG00000177426","TGIF1",1.00143852049799e-05,0.00858376901177337,19.5086750425427,64.8700325286144,1,3.16557005470233,1.95460927023332,0.463581079727151,0.86029713514253,0.0976832446010342,0.86029713514253,-1.17134175674451,0.260669500235714
"ENST00000356476.3","ENSG00000197409","H3C4",4.37568985408216e-06,0.0052933962644667,21.0928006973131,9.72914005358203,1,6.82046239869796,0.342571839283364,0.00157481681097345,0.196979061833558,0.0308891844129598,0.196979061833558,0.468423791792461,0.0995320014009976
"ENST00000356840.8","ENSG00000007944","MYLIP",5.33024377964188e-07,0.00186535688385553,25.1404690810216,8.46415671246965,1,6.65326955684847,0.429824653842296,0.00184317196001613,0.170894720131201,0.030975127993787,0.170894720131201,-0.468762375189377,0.08954101224277
"ENST00000358064.3","ENSG00000197837","H4-16",4.01051477187389e-06,0.00513184073444957,21.2598151635271,10.6645628534924,1,4.10976271460345,0.720230248312099,0.052512260844909,0.165131879022283,0.0520114505198821,0.165131879022283,-0.492005709776729,0.104051757061317
"ENST00000358181.8","ENSG00000170004","CHD3",1.06323094931033e-05,0.00882914188652715,19.3943149626275,5.13701939912104,1,6.48288727374021,0.297392141886037,0.0261580174438694,0.0786791131504375,0.0311682022205512,0.0786791131504375,0.328820881253836,0.0734289317883178
"ENST00000359470.6","ENSG00000182795","C1orf116",5.55263085919226e-06,0.00597579509363941,20.636535428274,14.8576044391902,1,4.99426161948835,4.16685559012779,0.0513529487467908,0.251863468379539,0.0377379987610067,0.251863468379539,-0.573709095371091,0.12350061857391
"ENST00000360578.7","ENSG00000171368","TPPP",1.29548861075708e-06,0.0030900587035976,23.4299055182996,13.2236601398543,1,6.75448093649259,2.24332273379036,0.00331456043336795,0.266556054665699,0.0309109219392859,0.266556054665699,-0.569781359536198,0.11364201423511
"ENST00000360612.5","ENSG00000198355","PIM3",1.40299173812216e-07,0.000854038989529307,27.7187102002655,2.54965470781046,1,6.54873476061702,0.580689322668312,0.00186168614443673,0.0501720834027155,0.0310808737823564,0.0501720834027155,-0.267222575052856,0.048025663451333
"ENST00000361131.5","ENSG00000198729","PPP1R14C",8.46518821750089e-06,0.00805327051511143,19.8298157033723,14.9068764896768,1,3.44800223008615,2.28704498202702,0.100635064811558,0.20358690436552,0.0783257779147327,0.20358690436552,-0.565310050901882,0.12459947820158
"ENST00000368300.9","ENSG00000160789","LMNA",8.39102987532032e-07,0.00252215468509768,24.2659281141916,3.62060045884394,1,8.27252137886386,0.23171924025883,0.000956687672421928,0.0729331176101074,0.034554015943586,0.0729331176101074,-0.302330078213935,0.0590216842736649
"ENST00000369158.1","ENSG00000203811","H3C14",1.35217877599538e-05,0.00981461436312851,18.9354315287903,11.0885596823208,1,7.96241587077875,0.391642383345518,0.000214861156679402,0.226082275217214,0.0330679997026766,0.226082275217214,0.478323816754599,0.108324964769778
"ENST00000369163.3","ENSG00000278828","H3C10",3.04560413610837e-06,0.00435215148434706,21.7876109393401,6.77960906783854,1,7.12777875933956,0.321946790301783,0.000971897017735003,0.137387471713664,0.0309965207424075,0.137387471713664,0.39621468117447,0.082572154934047
"ENST00000369787.7","ENSG00000116396","KCNC4",1.03199523038419e-05,0.00871751281335228,19.4512639604144,3.45601683222583,1,4.90584957783753,0.578144941643837,0.0116276485148115,0.0589033072448995,0.0385244380584294,0.0589033072448995,-0.270034577503269,0.0601975345756955
"ENST00000371940.1","ENSG00000142961","MOB3C",4.28758851426375e-07,0.00161589316667568,25.5603550145189,2.27829920622997,1,5.21221728212711,0.157132888297095,0.00909000114432865,0.0374059010236299,0.0361391923492803,0.0374059010236299,-0.281960167779271,0.0561047060355869
"ENST00000372980.4","ENSG00000149596","JPH2",1.93721671399284e-06,0.00345134529764964,22.6563229522945,8.90875537825987,1,5.22668390206516,1.4403598729337,0.0099303818946069,0.171880952355594,0.0360465418130541,0.171880952355594,-0.461419090805869,0.0939228509331362
"ENST00000374434.4","ENSG00000142661","MYOM3",1.30389898834511e-06,0.0030900587035976,23.4174569332958,29.1062743802191,1,4.85936690783481,4.73183912655007,0.07158195977988,0.522423639816428,0.0389778646704435,0.522423639816428,-0.845149439011998,0.168618283429664
"ENST00000374733.1","ENSG00000165029","ABCA1",1.48167763624099e-07,0.000854038989529307,27.6131534504774,27.8598488600742,1,3.4282879717109,0.903358246599488,0.156602156533747,0.411966187549401,0.0795052842032288,0.411966187549401,-0.882034794890181,0.158902736556967
